Title,Year,Release Date,Release Day,Season,Studio,Story,Genre,Budget Bucket,Rotten Tomatoes %,Audience  score %,Box Office Average per US Cinema (Opening Weekend) ($),Domestic Gross ($m),Foreign Gross ($m),Worldwide Gross ($m),Budget ($m),Profitability (% of Budget),Random ($m),Net Profit ($m),Opening Weekend ($m),Price per Movie
Red,2020,2020-12-31,Friday,Winter,Summit,Rivalry,Action,50 to 100,71%,72%,"$6,686",$89.84,$74.58,$164.42,$58.00,283.48%,"-$1,073.00",$106.42,$21.80,"$7,100.00"
City Island,2020,2020-12-31,Friday,Winter,Independent,Transformation,Comedy,< 50,81%,77%,"$16,000",$6.67,$1.19,$7.86,$7.00,131.00%,"$2,574.00",$1.86,$0.03,"$8,100.00"
Burlesque,2020,2020-12-31,Friday,Winter,Paramount,Rags to Riches,Drama,50 to 100,36%,66%,"$3,934",$38.24,$17.84,$56.08,$55.00,101.96%,"$2,002.00",$1.08,$11.95,"$3,600.00"
My Soul to Take,2020,2020-12-31,Friday,Winter,Relativity Media,Monster Force,Horror,< 50,9%,29%,"$2,660",$14.74,$5.09,$19.83,$25.00,79.32%,"-$1,204.00",-$5.17,$6.84,$900.00
Hanna,2020,2020-12-30,Friday,Winter,Universal,Quest,Action,< 50,71%,67%,"$4,880",$40.26,$23.52,$63.78,$30.00,212.60%,-$901.00,$33.78,$12.37,"$7,100.00"
My Week with Marilyn,2020,2020-12-30,Friday,Winter,The Weinstein Company,Love,Drama,< 50,83%,84%,"$7,174",$5.31,$2.95,$8.26,$10.00,82.60%,"$2,590.00",-$1.74,$1.75,"$8,300.00"
The Help,2020,2020-12-28,Wednesday,Winter,DreamWorks Pictures,Maturation,Drama,< 50,75%,91%,"$10,278",$169.22,$37.02,$206.24,$25.00,824.96%,$585.00,$181.24,$26.04,"$7,500.00"
Armored,2020,2020-12-25,Friday,Winter,Sony,Temptation,Action,< 50,40%,34%,"$3,400",$16.00,$0.00,$16.00,$20.00,80.00%,$977.00,-$4.00,$6.50,$400.00
All About Steve,2020,2020-12-25,Friday,Winter,Fox,Comedy,Comedy,< 50,6%,35%,"$4,994",$33.86,$6.26,$40.12,$15.00,267.47%,-$231.00,$25.12,$11.20,$600.00
Tron: Legacy,2020,2020-12-24,Friday,Winter,Independent,Fish Out Of Water,Action,150 to 200,50%,67%,"$12,578",$148.21,$143.20,$291.41,$170.00,171.42%,$195.00,$121.41,$44.03,$500.00
Step Up 3D,2020,2020-12-24,Friday,Winter,Summit,Transformation,Drama,< 50,46%,67%,"$6,494",$42.40,$116.75,$159.15,$30.00,530.50%,"$2,747.00",$129.15,$15.80,"$4,600.00"
The Crazies,2020,2020-12-24,Friday,Winter,Liberty Starz,Monster Force,Horror,< 50,72%,54%,"$6,489",$39.12,$15.47,$54.59,$20.00,272.95%,"$2,633.00",$34.59,$16.07,"$7,200.00"
Battle: Los Angeles,2020,2020-12-23,Friday,Winter,Relativity Media,Monster Force,Action,50 to 100,35%,50%,"$10,411",$83.55,$128.27,$211.82,$70.00,302.60%,"$2,788.00",$141.82,$35.57,"$3,500.00"
Killer Elite,2020,2020-12-23,Friday,Winter,Independent,Rivalry,Action,50 to 100,25%,48%,"$3,132",$25.12,$27.84,$52.96,$70.00,75.66%,"$1,185.00",-$17.04,$9.35,"$2,500.00"
Rango,2020,2020-12-23,Friday,Winter,Paramount,Fish Out Of Water,Animation,100 to 150,88%,69%,"$9,722",$123.26,$121.90,$245.15,$135.00,181.59%,"-$1,884.00",$110.15,$38.08,"$8,800.00"
Skyline,2020,2020-12-22,Wednesday,Winter,Independent,Monster Force,Action,< 50,16%,19%,"$4,060",$21.39,$33.87,$55.26,$10.00,552.60%,$762.00,$45.26,$11.69,"$1,600.00"
Percy Jackson & the Olympians: The Lightning Thief,2020,2020-12-22,Wednesday,Winter,Fox,Rivalry,Action,50 to 100,50%,57%,"$9,308",$88.77,$137.73,$226.50,$95.00,238.42%,"-$1,084.00",$131.50,$31.20,$500.00
Tinker Tailor Soldier Spy,2020,2020-12-21,Wednesday,Winter,Focus,,Thriller,< 50,83%,68%,"$6,772",$23.91,$53.84,$77.75,$21.00,370.24%,"$1,481.00",$56.75,$5.47,"$8,300.00"
Alvin and the Chipmunks: The Squeakquel,2020,2020-12-18,Friday,Winter,Independent,Comedy,Animation,50 to 100,21%,59%,"$13,210",$219.50,$221.30,$440.70,$75.00,587.60%,"$2,073.00",$365.70,$48.80,"$2,100.00"
Robin Hood,2020,2020-12-17,Friday,Winter,Universal,Rivalry,Action,> 200,42%,59%,"$10,295",$105.27,$216.40,$321.67,$200.00,160.84%,"$2,902.00",$121.67,$36.00,"$4,200.00"
Leap Year,2020,2020-12-17,Friday,Winter,Universal,Love,Comedy,< 50,21%,49%,"$3,665",$25.90,$6.69,$32.59,$19.00,171.53%,"$1,424.00",$13.59,$9.20,"$2,100.00"
Piranha 3-D,2020,2020-12-17,Friday,Winter,The Weinstein Company,Monster Force,Comedy,< 50,74%,45%,"$4,092",$25.00,$54.78,$79.78,$24.00,332.42%,$471.00,$55.78,$10.10,"$7,400.00"
Trespass,2020,2020-12-16,Friday,Winter,Independent,Escape,Thriller,< 50,11%,24%,,$0.02,$3.10,$3.12,$35.00,8.91%,"-$1,579.00",-$31.88,$0.02,"$1,100.00"
Year One,2020,2020-12-11,Friday,Winter,Sony,Quest,Adventure,50 to 100,14%,31%,"$6,489",$43.33,$19.02,$62.35,$60.00,103.92%,"$2,948.00",$2.35,$19.60,"$1,400.00"
My Life in Ruins,2020,2020-12-11,Friday,Winter,Independent,Comedy,Comedy,< 50,9%,43%,"$2,769",$8.67,$9.34,$18.01,$17.00,105.94%,"$1,348.00",$1.01,$3.20,$900.00
Predators,2020,2020-12-10,Friday,Winter,Fox,Monster Force,Action,< 50,64%,52%,"$9,277",$52.00,$74.74,$126.74,$40.00,316.85%,$932.00,$86.74,$24.80,"$6,400.00"
You Will Meet a Tall Dark Stranger,2020,2020-12-10,Friday,Winter,Independent,Love,Comedy,< 50,43%,35%,,$3.24,$23.42,$26.66,$22.00,121.18%,"-$1,955.00",$4.66,$0.16,"$4,300.00"
The American,2020,2020-12-10,Friday,Winter,Universal,Rivalry,Crime,< 50,66%,37%,"$4,668",$35.61,$10.39,$46.00,$20.00,230.00%,"$1,426.00",$26.00,$13.10,"$6,600.00"
Charlie St. Cloud	,2020,2020-12-10,Friday,Winter,Universal,Discovery,Fantasy,< 50,27%,62%,"$4,555",$31.16,$14.93,$46.09,$44.00,104.75%,"$1,020.00",$2.09,$12.40,"$2,700.00"
The Three Musketeers,2020,2020-12-09,Friday,Winter,Independent,Rivalry,Action,50 to 100,24%,48%,"$2,875",$20.25,$111.90,$132.15,$75.00,176.20%,$732.00,$57.15,$8.67,"$2,400.00"
Rio,2020,2020-12-09,Friday,Winter,20th Century Fox,Quest,Animation,50 to 100,71%,73%,"$10,252",$143.62,$341.02,$484.63,$90.00,538.48%,"$2,348.00",$394.63,$39.23,"$7,100.00"
2012,2020,2020-12-04,Friday,Winter,Sony,Escape,Action,> 200,39%,63%,"$19,165",$165.60,$602.40,$768.00,$200.00,384.00%,$368.00,$568.00,$65.30,"$3,900.00"
Bruno,2020,2020-12-04,Friday,Winter,Universal,Comedy,Comedy,< 50,68%,48%,"$11,110",$60.10,$70.70,$130.80,$42.00,311.43%,$910.00,$88.80,$30.60,"$6,800.00"
The Haunting in Connecticut,2020,2020-12-04,Friday,Winter,Lionsgate,Monster Force,Drama,< 50,17%,51%,"$8,420",$55.39,$22.13,$77.52,$30.00,258.40%,"-$1,517.00",$47.52,$23.00,"$1,700.00"
The Other Guys,2020,2020-12-03,Friday,Winter,Sony,Comedy,Action,100 to 150,78%,57%,"$9,735",$119.22,$51.05,$170.27,$100.00,170.27%,"-$1,826.00",$70.27,$35.50,"$7,800.00"
The Karate Kid,2020,2020-12-03,Friday,Winter,Sony,Underdog,Action,< 50,66%,75%,"$15,197",$176.59,$182.53,$359.12,$40.00,897.80%,"$2,404.00",$319.12,$55.70,"$6,600.00"
Barry Munday,2020,2020-12-03,Friday,Winter,Independent,Maturation,Comedy,,43%,43%,,,,,,,"$2,006.00",,,"$4,300.00"
Saw 3-D,2020,2020-12-03,Friday,Winter,Independent,Escape,Crime,< 50,10%,47%,"$8,024",$45.71,$76.80,$122.51,$20.00,612.55%,"$1,392.00",$102.51,$22.53,$100.00
Monte Carlo,2020,2020-12-02,Friday,Winter,20th Century Fox,Love,Romance,< 50,38%,50%,"$3,014",$23.18,$16.48,$39.66,$20.00,198.30%,-$846.00,$19.66,$7.45,"$3,800.00"
Taken,2020,2020-11-27,Friday,Fall,Fox,Pursuit,Action,< 50,58%,83%,"$7,765",$145.00,$81.80,$226.80,$25.00,907.20%,"-$1,480.00",$201.80,$24.70,"$5,800.00"
My Sister's Keeper,2020,2020-11-27,Friday,Fall,Warner Bros.,Escape,Drama,< 50,47%,73%,"$4,774",$49.20,$39.85,$89.05,$27.50,323.82%,"-$1,659.00",$61.55,$12.40,"$4,700.00"
A Serious Man,2020,2020-11-27,Friday,Fall,Universal,Love,Drama,< 50,89%,64%,"$41,890",$9.20,$21.48,$30.68,$7.00,438.29%,"$1,631.00",$23.68,$0.25,"$8,900.00"
Harry Potter and the Deathly Hallows Part 1,2020,2020-11-26,Friday,Fall,Warner Bros.,Quest,Adventure,100 to 150,79%,87%,"$30,307",$295.00,$660.00,$955.00,$125.00,764.00%,$724.00,$830.00,$125.00,"$7,900.00"
She's Out of My League,2020,2020-11-26,Friday,Fall,Paramount,Love,Comedy,< 50,57%,60%,"$3,307",$32.01,$16.80,$48.81,$20.00,244.05%,"$1,247.00",$28.81,$9.80,"$5,700.00"
Diary of a Wimpy Kid,2020,2020-11-26,Friday,Fall,Independent,Underdog,Comedy,< 50,53%,49%,"$7,191",$64.00,$11.70,$75.70,$15.00,504.67%,"-$1,669.00",$60.70,$22.10,"$5,300.00"
Sanctum,2020,2020-11-25,Friday,Fall,Relativity Media,Quest,Action,< 50,30%,39%,"$3,390",$23.20,$85.40,$108.60,$30.00,362.00%,"$1,408.00",$78.60,$9.40,$300.00
The Sitter,2020,2020-11-25,Friday,Fall,Fox,,Comedy,< 50,22%,43%,"$2,582",$30.44,$4.14,$34.58,$25.00,138.32%,"$1,550.00",$9.58,$9.85,"$2,200.00"
War Horse,2020,2020-11-25,Friday,Fall,Disney,,Drama,50 to 100,77%,73%,"$6,114",$79.04,$88.50,$167.54,$66.00,253.85%,"$2,241.00",$101.54,$14.52,"$7,700.00"
Friends With Benefits,2020,2020-11-25,Friday,Fall,Warner Bros.,Temptation,Romance,< 50,71%,68%,"$6,364",$55.80,$93.74,$149.54,$35.00,427.26%,"-$1,243.00",$114.54,$18.62,"$7,100.00"
X-Men: First Class,2020,2020-11-23,Wednesday,Fall,Disney,Monster Force,Action,150 to 200,87%,88%,"$15,134",$146.41,$207.22,$353.62,$160.00,221.01%,$134.00,$193.62,$55.10,"$8,700.00"
